barcode,organism,sequence_abundance
25,Puccinia striiformis var tritici,2000
26,Puccinia triticina,2000
27,Puccinia graminis,2000
28,Austropuccinia psidii,2000
29,Leptosphaeria maculans,2000
30,Sclerotinia sclerotiorum,2000
31,Botrytis cinerea,2000
32,Botrytis fabae,2000
33,Zymoseptoria tritici,2000
34,Sporisorium scitamineum,2000
35,Erysiphe necator,2000
37,Pyrenophora tritici-repentis,2000
38,Cryptovalsa ampelina,2000
39,Eutypa lata,2000
40,Diplodia seriata,2000
41,Fusarium pseudograminearum,2000
42,Aspergillus flavus,2000
43,Aspergillus fumigatus,2000
45,Blastobotrys adeninivorans,2000
46,Blastobotrys proliferans,2000
48,Candida boleticola,2000
49,Candida caryicola,2000
50,Candida catenulata,2000
51,Candida dubliniensis,2000
52,Candida glabrata,2000
53,Candida metapsilosis,2000
55,Candida parapsilosis,2000
56,Candida tropicalis,2000
57,Candida zeylanoides,2000
59,Cryptococcus gattii VG I,2000
62,Cryptococcus neoformans VN IIII,2000
63,Fusarium proliferatum,2000
65,Geotrichum candidum,2000
66,Kluyveromyces lactis,2000
67,Kluyveromyces marxianus,2000
68,Kodamaea ohmeri,2000
71,Penicillium chrysogenum,2000
72,Pichia kudriavzevii,2000
73,Pichia membranifaciens,2000
74,Rhodotorula mucilaginosa,2000
75,Scedosporium aurantiacum,2000
76,Scedosporium boydii,2000
77,Trichomonascus ciferrii,2000
78,Trichosporon asahii,2000
79,Wickerhamomyces anomalus,2000
80,Yamadazyma mexicana,2000
81,Yamadazyma scolyti,2000
82,Yarrowia lipolytica,2000
83,Diaporthe sp CCL067,2000
84,Quambalaria cyanescens CCL055,2000
85,Entoleuca sp CCL052,2000
86,Cortinarius globuliformis CM4,2000
88,Asteroma sp CCL060,2000
89,Tuber brumale,2000