MockSpecies,Mock,MinimumSeqQuality,Classifier,Database,F1_Score,Recall,Precision
Zymoseptoria_tritici,Mock3,Qmin15,emu,NCBI_NoCd,0.979728211,0.960261983,1
Aspergillus_flavus,Mock3,Qmin17,minimap2,NCBI_NoCd,0,0,0
Aspergillus_fumigatus,Mock3,Qmin17,minimap2,NCBI_NoCd,0.00669344,0.003357958,1
Blastobotrys_adeninivorans,Mock3,Qmin17,minimap2,NCBI_NoCd,0.975778547,0.956256358,0.996114447
Blastobotrys_proliferans,Mock3,Qmin17,minimap2,NCBI_NoCd,0.380782918,0.235855988,0.987692308
Candida_boleticola,Mock3,Qmin17,minimap2,NCBI_NoCd,0.965306122,0.937252312,0.995091164
Candida_caryicola,Mock3,Qmin17,minimap2,NCBI_NoCd,0.335616438,0.201646091,1
Candida_catenulata,Mock3,Qmin17,minimap2,NCBI_NoCd,0.218015666,0.122434018,0.994047619
Candida_dubliniensis,Mock3,Qmin17,minimap2,NCBI_NoCd,0,0,0
Candida_glabrata,Mock3,Qmin17,minimap2,NCBI_NoCd,0.378800329,0.233891426,0.995680346
Candida_metapsilosis,Mock3,Qmin17,minimap2,NCBI_NoCd,0,0,0
Candida_parapsilosis,Mock3,Qmin17,minimap2,NCBI_NoCd,0.947310039,0.903225806,0.995918367
Candida_tropicalis,Mock3,Qmin17,minimap2,NCBI_NoCd,0.878566689,0.788095238,0.992503748
Candida_zeylanoides,Mock3,Qmin17,minimap2,NCBI_NoCd,0.333333333,0.200863931,0.978947368
Cryptococcus_gattii_VGI,Mock3,Qmin17,minimap2,NCBI_NoCd,0,0,0
Cryptococcus_neoformans_VNIII,Mock3,Qmin17,minimap2,NCBI_NoCd,0.00114482,0.000572738,1
Diplodia_seriata,Mock3,Qmin17,minimap2,NCBI_NoCd,0.9346211,0.877878576,0.999205719
Fusarium_pseudograminearum,Mock3,Qmin17,minimap2,NCBI_NoCd,0.149353358,0.080703336,1
Kluyveromyces_lactis,Mock3,Qmin17,minimap2,NCBI_NoCd,0,0,0
Kluyveromyces_marxianus,Mock3,Qmin17,minimap2,NCBI_NoCd,0.717752235,0.560207337,0.998578536
Kodamaea_ohmeri,Mock3,Qmin17,minimap2,NCBI_NoCd,0.317124736,0.188509874,0.998098859
Leptosphaeria_maculans,Mock3,Qmin17,minimap2,NCBI_NoCd,0.953484227,0.911724608,0.999252895
Penicillium_chrysogenum,Mock3,Qmin17,minimap2,NCBI_NoCd,0.000878349,0.000439367,1
Pichia_kudriavzevii,Mock3,Qmin17,minimap2,NCBI_NoCd,0.963571829,0.952011812,0.975416036
Pichia_membranifaciens,Mock3,Qmin17,minimap2,NCBI_NoCd,0.830253545,0.710294118,0.998965874
Quambalaria_cyanescens,Mock3,Qmin17,minimap2,NCBI_NoCd,0.018410042,0.009290541,1
Rhodotorula_mucilaginosa,Mock3,Qmin17,minimap2,NCBI_NoCd,0.779139177,0.641489912,0.992
Scedosporium_aurantiacum,Mock3,Qmin17,minimap2,NCBI_NoCd,0.389447236,0.241809672,1
Trichomonascus_ciferrii,Mock3,Qmin17,minimap2,NCBI_NoCd,0.006160164,0.003089598,1
Trichosporon_asahii,Mock3,Qmin17,minimap2,NCBI_NoCd,0.679662118,0.516033547,0.995242626
Tuber_brumale,Mock3,Qmin17,minimap2,NCBI_NoCd,0.214310404,0.120108485,0.993589744
Wickerhamomyces_anomalus,Mock3,Qmin17,minimap2,NCBI_NoCd,0.264864865,0.152886115,0.98989899
Yamadazyma_mexicana,Mock3,Qmin17,minimap2,NCBI_NoCd,0.969162996,0.942649967,0.9972106
Yamadazyma_scolyti,Mock3,Qmin17,minimap2,NCBI_NoCd,0.974290484,0.951728637,0.997948016
Yarrowia_lipolytica,Mock3,Qmin17,minimap2,NCBI_NoCd,0.874279123,0.856174699,0.89316575
Zymoseptoria_tritici,Mock3,Qmin17,minimap2,NCBI_NoCd,0.486036257,0.321035599,1
Aspergillus_flavus,Mock3,Qmin17,kraken2,NCBI_NoCd,0.000966184,0.000483325,1
Aspergillus_fumigatus,Mock3,Qmin17,kraken2,NCBI_NoCd,0.038208169,0.019476158,1
Blastobotrys_adeninivorans,Mock3,Qmin17,kraken2,NCBI_NoCd,0.97648686,0.95761275,0.996119929
Blastobotrys_proliferans,Mock3,Qmin17,kraken2,NCBI_NoCd,0.982899628,0.9713446,0.994732882
Candida_boleticola,Mock3,Qmin17,kraken2,NCBI_NoCd,0.981245814,0.967635403,0.995244565
Candida_caryicola,Mock3,Qmin17,kraken2,NCBI_NoCd,0.972198821,0.949794239,0.995685936
Candida_catenulata,Mock3,Qmin17,kraken2,NCBI_NoCd,0.975755315,0.958944282,0.993166287
Candida_dubliniensis,Mock3,Qmin17,kraken2,NCBI_NoCd,0,0,0
Candida_glabrata,Mock3,Qmin17,kraken2,NCBI_NoCd,0.829340432,0.711314054,0.994326241
Candida_metapsilosis,Mock3,Qmin17,kraken2,NCBI_NoCd,0,0,0
Candida_parapsilosis,Mock3,Qmin17,kraken2,NCBI_NoCd,0.97710746,0.959280804,0.995609221
Candida_tropicalis,Mock3,Qmin17,kraken2,NCBI_NoCd,0.971428571,0.951190476,0.992546584
Candida_zeylanoides,Mock3,Qmin17,kraken2,NCBI_NoCd,0.978676873,0.966522678,0.991140642
Cryptococcus_gattii_VGI,Mock3,Qmin17,kraken2,NCBI_NoCd,0.350212967,0.212643678,0.991957105
Cryptococcus_neoformans_VNIII,Mock3,Qmin17,kraken2,NCBI_NoCd,0.969856599,0.949026346,0.991621783
Diplodia_seriata,Mock3,Qmin17,kraken2,NCBI_NoCd,0.901359893,0.821004885,0.999150743
Fusarium_pseudograminearum,Mock3,Qmin17,kraken2,NCBI_NoCd,0.964294049,0.931469793,0.999516207
Kluyveromyces_lactis,Mock3,Qmin17,kraken2,NCBI_NoCd,0,0,0
Kluyveromyces_marxianus,Mock3,Qmin17,kraken2,NCBI_NoCd,0.978688857,0.961323764,0.996692848
Kodamaea_ohmeri,Mock3,Qmin17,kraken2,NCBI_NoCd,0.972217111,0.948653501,0.996981132
Leptosphaeria_maculans,Mock3,Qmin17,kraken2,NCBI_NoCd,0.971088137,0.944444444,0.999278759
Penicillium_chrysogenum,Mock3,Qmin17,kraken2,NCBI_NoCd,0,0,0
Pichia_kudriavzevii,Mock3,Qmin17,kraken2,NCBI_NoCd,0.963419186,0.952750092,0.974329936
Pichia_membranifaciens,Mock3,Qmin17,kraken2,NCBI_NoCd,0.832761578,0.713970588,0.998971193
Quambalaria_cyanescens,Mock3,Qmin17,kraken2,NCBI_NoCd,0.89278206,0.807010135,0.998954522
Rhodotorula_mucilaginosa,Mock3,Qmin17,kraken2,NCBI_NoCd,0,0,0
Scedosporium_aurantiacum,Mock3,Qmin17,kraken2,NCBI_NoCd,0.945768283,0.897815913,0.999131944
Trichomonascus_ciferrii,Mock3,Qmin17,kraken2,NCBI_NoCd,0.340588988,0.20545829,0.995012469
Trichosporon_asahii,Mock3,Qmin17,kraken2,NCBI_NoCd,0.940594059,0.89047854,0.996686913
Tuber_brumale,Mock3,Qmin17,kraken2,NCBI_NoCd,0.854356019,0.746609841,0.998445596
Wickerhamomyces_anomalus,Mock3,Qmin17,kraken2,NCBI_NoCd,0.96877502,0.943837754,0.995065789
Yamadazyma_mexicana,Mock3,Qmin17,kraken2,NCBI_NoCd,0.90021692,0.820698748,0.996797438
Yamadazyma_scolyti,Mock3,Qmin17,kraken2,NCBI_NoCd,0.981094527,0.964774951,0.997975709
Yarrowia_lipolytica,Mock3,Qmin17,kraken2,NCBI_NoCd,0.925081433,0.962349398,0.890592334
Zymoseptoria_tritici,Mock3,Qmin17,kraken2,NCBI_NoCd,0.975157337,0.952750809,0.998643148
Aspergillus_flavus,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.037001898,0.018849686,1
Aspergillus_fumigatus,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.034323432,0.017461383,1
Blastobotrys_adeninivorans,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.972578966,0.950152594,0.996089584
Blastobotrys_proliferans,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.982886905,0.970609846,0.995478523
Candida_boleticola,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.923566879,0.861955086,0.994664634
Candida_caryicola,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.964785745,0.935802469,0.995621716
Candida_catenulata,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.974588939,0.95601173,0.993902439
Candida_dubliniensis,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0,0,0
Candida_glabrata,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.827953805,0.709284627,0.9943101
Candida_metapsilosis,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0,0,0
Candida_parapsilosis,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.972124493,0.949762031,0.99556541
Candida_tropicalis,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.961325967,0.932142857,0.992395437
Candida_zeylanoides,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.980905619,0.970842333,0.991179713
Cryptococcus_gattii_VGI,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.47972089,0.316091954,0.994575045
Cryptococcus_neoformans_VNIII,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.88642132,0.800114548,0.993598862
Diplodia_seriata,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.946943272,0.899860433,0.999225107
Fusarium_pseudograminearum,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.964294049,0.931469793,0.999516207
Kluyveromyces_lactis,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0,0,0
Kluyveromyces_marxianus,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.970540098,0.945773525,0.996638655
Kodamaea_ohmeri,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.972027972,0.948294434,0.996979992
Leptosphaeria_maculans,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.974493361,0.950579414,0.999641577
Penicillium_chrysogenum,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0,0,0
Pichia_kudriavzevii,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.959715196,0.945367294,0.974505327
Pichia_membranifaciens,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.818576389,0.693382353,0.998940678
Quambalaria_cyanescens,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.91184573,0.838682432,0.998993964
Rhodotorula_mucilaginosa,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.887424807,0.801345059,0.994223363
Scedosporium_aurantiacum,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.941419142,0.890015601,0.999124343
Trichomonascus_ciferrii,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.067661692,0.035015448,1
Trichosporon_asahii,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.945812808,0.899851998,0.996721311
Tuber_brumale,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.845655573,0.733436652,0.998417722
Wickerhamomyces_anomalus,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.960871319,0.929017161,0.994987469
Yamadazyma_mexicana,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.97679112,0.957152274,0.997252747
Yamadazyma_scolyti,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.977007664,0.956294847,0.998637602
Yarrowia_lipolytica,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0,0,0
Zymoseptoria_tritici,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.959650303,0.923624595,0.99860042
Aspergillus_flavus,Mock3,Qmin17,emu,NCBI_NoCd,0,0,0
Aspergillus_fumigatus,Mock3,Qmin17,emu,NCBI_NoCd,0.038250361,0.019498085,1
Blastobotrys_adeninivorans,Mock3,Qmin17,emu,NCBI_NoCd,0.967053365,0.936208447,1
Blastobotrys_proliferans,Mock3,Qmin17,emu,NCBI_NoCd,0.984871158,0.970193257,1
Candida_boleticola,Mock3,Qmin17,emu,NCBI_NoCd,0.986960514,0.974900925,0.999322195
Candida_caryicola,Mock3,Qmin17,emu,NCBI_NoCd,0.947839364,0.900850433,1
Candida_catenulata,Mock3,Qmin17,emu,NCBI_NoCd,0.596061398,0.424563722,1
Candida_dubliniensis,Mock3,Qmin17,emu,NCBI_NoCd,0,0,0
Candida_glabrata,Mock3,Qmin17,emu,NCBI_NoCd,0.65514113,0.487144892,1
Candida_metapsilosis,Mock3,Qmin17,emu,NCBI_NoCd,0,0,0
Candida_parapsilosis,Mock3,Qmin17,emu,NCBI_NoCd,0.984721709,0.971443681,0.998367744
Candida_tropicalis,Mock3,Qmin17,emu,NCBI_NoCd,0.971543846,0.944662388,1
Candida_zeylanoides,Mock3,Qmin17,emu,NCBI_NoCd,0.368098341,0.225564046,1
Cryptococcus_gattii_VGI,Mock3,Qmin17,emu,NCBI_NoCd,0,0,0
Cryptococcus_neoformans_VNIII,Mock3,Qmin17,emu,NCBI_NoCd,0.081330091,0.042388787,1
Diplodia_seriata,Mock3,Qmin17,emu,NCBI_NoCd,0.978617866,0.958130981,1
Fusarium_pseudograminearum,Mock3,Qmin17,emu,NCBI_NoCd,0.972324931,0.94614043,1
Kluyveromyces_lactis,Mock3,Qmin17,emu,NCBI_NoCd,0,0,0
Kluyveromyces_marxianus,Mock3,Qmin17,emu,NCBI_NoCd,0.961207889,0.925681986,0.99956945
Kodamaea_ohmeri,Mock3,Qmin17,emu,NCBI_NoCd,0.978169143,0.957271095,1
Leptosphaeria_maculans,Mock3,Qmin17,emu,NCBI_NoCd,0.977171088,0.955361231,1
Penicillium_chrysogenum,Mock3,Qmin17,emu,NCBI_NoCd,0,0,0
Pichia_kudriavzevii,Mock3,Qmin17,emu,NCBI_NoCd,0.967150433,0.957179771,0.977331005
Pichia_membranifaciens,Mock3,Qmin17,emu,NCBI_NoCd,0.828642785,0.707421079,1
Quambalaria_cyanescens,Mock3,Qmin17,emu,NCBI_NoCd,0.426497278,0.271049597,1
Rhodotorula_mucilaginosa,Mock3,Qmin17,emu,NCBI_NoCd,0.875006471,0.778995249,0.998011458
Scedosporium_aurantiacum,Mock3,Qmin17,emu,NCBI_NoCd,0.769048649,0.62475958,1
Trichomonascus_ciferrii,Mock3,Qmin17,emu,NCBI_NoCd,0.11710626,0.062194832,1
Trichosporon_asahii,Mock3,Qmin17,emu,NCBI_NoCd,0.855063739,0.746822132,1
Tuber_brumale,Mock3,Qmin17,emu,NCBI_NoCd,0.2265003,0.127713751,1
Wickerhamomyces_anomalus,Mock3,Qmin17,emu,NCBI_NoCd,0.371571809,0.228178197,1
Yamadazyma_mexicana,Mock3,Qmin17,emu,NCBI_NoCd,0.989347537,0.979564931,0.999327505
Yamadazyma_scolyti,Mock3,Qmin17,emu,NCBI_NoCd,0.986789596,0.974559687,0.999330356
Yarrowia_lipolytica,Mock3,Qmin17,emu,NCBI_NoCd,0.380262193,0.239959139,0.915622849
Zymoseptoria_tritici,Mock3,Qmin17,emu,NCBI_NoCd,0.981206726,0.963106796,1